state,complaint_count
CA,87266
TX,63175
FL,62706
NY,45819
GA,31091
IL,27564
PA,24296
NJ,23299
VA,19770
NC,19589
MD,17653
OH,16010
MI,14399
AZ,13747
MA,11874
WA,11624
CO,10035
TN,9648
SC,9328
NV,8710
CT,7991
LA,7646
IN,7562
MO,7418
AL,7237
MN,6757
OR,5895
WI,5769
KY,3977
OK,3914
MS,3698
DC,3550
UT,3469
AR,3408
DE,3088
KS,2672
NM,2435
WV,2403
IA,2366
NE,2066
RI,1910
NH,1826
ID,1817
HI,1679
ME,1317
PR,1290
MT,952
VT,747
AK,735
SD,686
WY,550
ND,454
AE,199
AP,144
VI,87
UNITED STATES MINOR OUTLYING ISLANDS,56
GU,50
AA,14
AS,13
MP,9
PW,1
